设备型号,显卡配置,画质推荐
苹果X,,低画质高帧率
苹果11,,低画质高帧率
Apple iPhone 12,,低画质高帧率
Apple iPhone 12 Pro Max,,低画质高帧率
Apple iPhone 13 mini,,中高画质高帧率
Apple iPhone 13 Pro,,中高画质高帧率
Apple iPhone 13 Pro Max,,中高画质高帧率
Apple iPhone 14,,高画质高帧率
Apple iPhone 14 Pro,,高画质高帧率
Apple iPhone 14 Pro Max,,高画质高帧率
Apple iPhone 15,,极致画质超高帧率
Apple iPhone 15 Pro,,极致画质超高帧率
Apple iPhone 15 Pro Max,,极致画质超高帧率
Apple iPhone 16,,极致画质超高帧率
Apple iPhone 16 Pro,,极致画质超高帧率
Apple iPhone 16 Pro Max,,极致画质超高帧率
华为 nova9 SE,,恭喜入门，低画质中帧率
华为 nova9 SE,,恭喜入门，低画质中帧率
荣耀 畅玩40 Plus,,恭喜入门，低画质中帧率
OPPO A93s,,恭喜入门，低画质中帧率
vivo iQOO U5x,,恭喜入门，低画质中帧率
骁龙660,,恭喜入门，低画质中帧率
小米 Redmi Note10,,恭喜入门，低画质中帧率
小米 Redmi Note11,,恭喜入门，低画质中帧率
天玑1000L,,恭喜入门，低画质中帧率
麒麟820,,恭喜入门，低画质中帧率
天玑1080,,恭喜入门，低画质中帧率
麒麟985,,恭喜入门，低画质中帧率
天玑800,,恭喜入门，低画质中帧率
OPPO A97,,恭喜入门，低画质中帧率
OPPO A97,,恭喜入门，低画质中帧率
OPPO K9x,,恭喜入门，低画质中帧率
荣耀 X30i,,恭喜入门，低画质中帧率
天玑820,,中低画质中高帧率
天玑900,,中低画质中高帧率
荣耀 80 SE,,中低画质中高帧率，注意散热
麒麟980,,中低画质中高帧率，注意散热
骁龙695,,中低画质中高帧率
OPPO A96,,中低画质中高帧率，注意散热
荣耀X40,,中低画质中高帧率，注意散热
U-Magic 50 Plus,,中低画质中高帧率
骁龙6Gen1,,中低画质中高帧率
骁龙7Gen1,,中低画质中高帧率
骁龙778,,中低画质中高帧率
华为 Pocket S,,中低画质中高帧率，注意散热
华为 nova 10 Pro,,中低画质中高帧率，注意散热
华为 nova 10,,中低画质中高帧率，注意散热
华为 P50E,,中低画质中高帧率，注意散热
Hi nova 9 Pro,,中低画质中高帧率，注意散热
Hi nova 9,,中低画质中高帧率，注意散热
荣耀 70,,中低画质中高帧率，注意散热
荣耀 60,,中低画质中高帧率，注意散热
荣耀 60 Pro,,中低画质中高帧率，注意散热
vivo iQOO Z5,,中低画质中高帧率，注意散热
骁龙780,,中低画质中高帧率
骁龙782,,中低画质中高帧率
荣耀 80,,中低画质中高帧率，注意散热
麒麟8000,,中高画质，中高帧率
骁龙7sGen2,,中高画质，中高帧率
麒麟8000,,中高画质，中高帧率
骁龙855,,中高画质，中高帧率
骁龙855+,,中高画质，中高帧率
天玑1000+,,中高画质，中高帧率
天玑1100,,中高画质，中高帧率
天玑7200,,中高画质，中高帧率
麒麟990,,中高画质，中高帧率
麒麟9000SL,,中高画质，中高帧率
骁龙865,,中高画质，中高帧率
天玑1200,,中高画质，中高帧率
骁龙865+,,中高画质，中高帧率
骁龙870,,中高画质，中高帧率
魅族 18X,,中高画质，中高帧率，注意散热
realme GT 大师探索版,,中高画质，中高帧率，注意散热
小米 Redmi K40S,,中高画质，中高帧率，注意散热
vivo S15,,中高画质，中高帧率，注意散热
vivo iQOO Neo6 SE,,中高画质，中高帧率，注意散热
vivo iQOO Neo6 SE,,中高画质，中高帧率，注意散热
vivo iQOO Neo6 SE,,中高画质，中高帧率，注意散热
骁龙888,,中高画质，中高帧率
小米 11 Ultra,,中高画质，中高帧率，注意散热
小米 Redmi K40 Pro,,中高画质，中高帧率，注意散热
华为 Mate Xs2,,中高画质，中高帧率，注意散热
华为 P50 pocket,,中高画质，中高帧率，注意散热
华为 P50,,中高画质，中高帧率，注意散热
华为 P50Pro,,中高画质，中高帧率，注意散热
三星 Z Fold3,,中高画质，中高帧率，注意散热
三星 S21 FE,,中高画质，中高帧率，注意散热
骁龙888+,,中高画质，中高帧率，注意散热
荣耀 magic3至臻版,,中高画质，中高帧率，注意散热
小米 MIX4,,中高画质，中高帧率，注意散热
麒麟9000E,,中高画质，中高帧率
天玑8000,,中高画质，高帧率
荣耀 70 Pro,,中高画质，中高帧率，注意散热
OPPO Reno9 Pro,,中高画质，中高帧率，注意散热
天玑8100,,中高画质，高帧率
小米 Redmi K50,,中高画质，中高帧率，注意散热
小米 Redmi Note11T Pro+,,中高画质，中高帧率，注意散热
麒麟9000,,中高画质，中高帧率，注意散热
华为 Mate X2,,中高画质，中高帧率，注意散热
华为 Mate X2 典藏版,,中高画质，中高帧率，注意散热
华为 Mate40 RS 保时捷设计,,中高画质，中高帧率，注意散热
华为 Mate40E Pro,,中高画质，中高帧率，注意散热
天玑8200,,中高画质，高帧率
麒麟9000S,,中高画质，中高帧率，注意散热
骁龙7+Gen2,,中高画质，高帧率
小米 Redmi Note12,,中高画质，中高帧率，注意散热
骁龙8Gen1,,中高画质高帧率，注意散热
一加 10 Pro,,中高画质高帧率，注意散热
中兴 Axon 40 Ultra,,中高画质高帧率，注意散热
努比亚 红魔7,,中高画质高帧率，注意散热
小米 12 Pro,,中高画质高帧率，注意散热
realme GT2 Pro,,中高画质高帧率，注意散热
vivo X Note,,中高画质高帧率，注意散热
vivo iQOO 10,,中高画质高帧率，注意散热
三星 S22 Ultra,,中高画质高帧率，注意散热
三星 S22+,,中高画质高帧率，注意散热
三星 S22,,中高画质高帧率，注意散热
天玑9000,,中高画质高帧率，注意散热
荣耀 Magic4,,中高画质高帧率，注意散热
荣耀 Magic4 Pro,,中高画质高帧率，注意散热
vivo X80,,中高画质高帧率，注意散热
vivo iQOO Neo7,,中高画质高帧率，注意散热
天玑8300U,,中高画质高帧率，注意散热
骁龙8+Gen1,,高画质高帧率
小米 12S Ultra,,高画质高帧率
小米 Redmi K50 至尊版,,高画质高帧率
华为 Mate50E,,高画质高帧率
华为 Mate50,,高画质高帧率
华为 Mate50 Pro,,高画质高帧率
荣耀 80 Pro,,高画质高帧率
realme GT Neo5,,高画质高帧率
OPPO Find N2,,高画质高帧率
三星 W23 Flip,,高画质高帧率
三星 Z Fold4,,高画质高帧率
三星 Z Flip4,,高画质高帧率
天玑9200,,高画质高帧率
OPPO Find X6,,高画质高帧率
vivo X90,,高画质高帧率
vivo X90 Pro,,高画质高帧率
vivo X90 Pro+,,高画质高帧率
骁龙8sGen3,,高画质高帧率
骁龙7+Gen3,,高画质高帧率
骁龙8Gen2,,高画质超高帧率
努比亚 Z50 Ultra,,高画质超高帧率
努比亚 红魔8 Pro+,,高画质超高帧率
努比亚 红魔8 Pro,,高画质超高帧率
魅族 20,,高画质超高帧率
魅族 20 PRO,,高画质超高帧率
小米 13,,高画质超高帧率
小米 13 Pro,,高画质超高帧率
荣耀Magic5,,高画质超高帧率
荣耀Magic5 Pro,,高画质超高帧率
OPPO Find X6 Pro,,高画质超高帧率
三星 S23 Ultra,,高画质超高帧率
三星 S23+,,高画质超高帧率
三星 S23,,高画质超高帧率
天玑9200+,,拉满起飞，纵享丝滑
骁龙8Gen3,,拉满起飞，纵享丝滑
天玑9300,,拉满起飞，纵享丝滑
红魔9P,,拉满起飞，纵享丝滑
红米K70,,拉满起飞，纵享丝滑，一定要做好散热
红米K70至尊,,拉满起飞，纵享丝滑，一定要做好散热
vivo iQOO 11,,拉满起飞，纵享丝滑
vivo iQOO 12,,拉满起飞，纵享丝滑
vivo iQOO Neo8,,中高画质高帧率
vivo iQOO Neo9,,中高画质高帧率
小米14,,拉满起飞，纵享丝滑，一定要做好散热
小米14U,,拉满起飞，纵享丝滑，一定要做好散热
小米14至尊,,拉满起飞，纵享丝滑，一定要做好散热
华为三折,,皇上请拉满进游戏督战，打架的事交给武将就行！
一加ACE,,中高画质高帧率
一加ACE 2,,高画质高帧率
一加ACE 3,,高画质超高帧率
一加ACE 3Pro,,极致画质超高帧率
OPPO A5,,烟花团欢迎你！
华为 Mate60E,,中高画质高帧率
华为 Mate60,,中高画质高帧率
华为 Mate60 Pro,,中高画质高帧率
诺基亚,,核桃团欢迎你
大哥大,,老年团有你一个位置
小天才电话手表,,欢迎加入儿童团
步步高点读机,,欢迎加入儿童团
小霸王学习机,,欢迎加入儿童团
小米SU7,,开车不打枪，打枪不开车，不开车的时候用手机玩！
问界M9,,开车不打枪，打枪不开车，老板请个小弟帮你打就行！
小米6,,烟花团欢迎你！
苹果5S,,烟花团欢迎你！
苹果6,,烟花团欢迎你！
AppleiPad Pro 6 5G版,,拉满起飞，纵享丝滑，
AppleiPad Air 4 4G版,,高画质，高帧率
AppleiPad 10 5G版,,高画质，高帧率
AppleiPad 9 4G版,,中高画质高帧率
AppleiPad 9,,中高画质高帧率
AppleiPad mini 5G版,,高画质，高帧率
华为平板MatePad Pro 12.6,,中高画质，中高帧率
华为平板MatePad Pro 11,,中高画质，中高帧率
华为平板MatePad Pro 11,,中高画质，中高帧率
华为平板MatePad 11,,中高画质，中高帧率
华为平板MatePad 10.4,,低画质入门
华为平板MatePad 10.4 4G版,,中低画质，中高帧率
HUAWEI MatePad Paper,,低画质入门
HUAWEI MatePad Paper 4G版,,低画质入门
微软Surface Go 3,,砸核桃去吧
微软Surface Pro 8,,中高画质高帧率
三星Tab S7,,中低画质，中高帧率
三星Tab S7 4G版,,中低画质，中高帧率
小米Redmi平板,,中低画质，中高帧率，注意散热
小米平板5 Pro 12.4,,中高画质，中高帧率，注意散热
小米平板5 Pro,,中高画质，中高帧率，注意散热
小米平板5 Pro 5G版,,中高画质，中高帧率，注意散热
小米平板5,,中高画质，中高帧率，注意散热
联想小新pad2022,,恭喜入门，低画质
联想小新Pad Plus 2023,,中低画质，中高帧率，注意散热
联想小新Pad Pro 2022,,中高画质，中高帧率，注意散热
联想天骄平板,,中低画质，中高帧率，注意散热
荣耀平板8,,恭喜入门，低画质
荣耀平板8,,恭喜入门，低画质
荣耀平板V7 Pro,,中高画质，中高帧率，注意散热
荣耀平板V7 Pro 5G版,,中高画质，中高帧率，注意散热
荣耀平板X8,,恭喜入门，低画质
OPPO Pad Air,,恭喜入门，低画质
M2,,拉满起飞，纵享丝滑，
M4,,拉满起飞，纵享丝滑，一代枪神就此诞生！
华为保时捷60rs,,高画质超高帧率
华为保时捷50典藏版,,高画质高帧率
华为保时捷50rs,,高画质高帧率
8Gen2,,高画质超高帧率
M2,,拉满起飞，纵享丝滑，
A14,,高画质，高帧率
A14,,高画质，高帧率
A13,,中高画质高帧率
A13,,中高画质高帧率
A15,,高画质，高帧率
麒麟9000E,,中高画质，中高帧率
高通骁龙870,,中高画质，中高帧率
高通骁龙888,,中高画质，中高帧率
高通骁龙865,,中高画质，中高帧率
麒麟710A,,低画质入门
高通骁龙778G,,中低画质，中高帧率
麒麟820E,,低画质入门
麒麟820E,,低画质入门
英特尔酷睿i3,,砸核桃去吧
英特尔酷睿i7,,中高画质高帧率
高通骁龙778G,,中低画质，中高帧率
高通骁龙750G,,中低画质，中高帧率
联发科Helio G99 ,,中低画质，中高帧率，注意散热
高通骁龙870,,中高画质，中高帧率，注意散热
高通骁龙870,,中高画质，中高帧率，注意散热
高通骁龙870,,中高画质，中高帧率，注意散热
高通骁龙860,,中高画质，中高帧率，注意散热
高通骁龙680,,恭喜入门，低画质
联发科Helio G99 ,,中低画质，中高帧率，注意散热
高通骁龙870,,中高画质，中高帧率，注意散热
联发科Helio G90T,,中低画质，中高帧率，注意散热
高通骁龙680,,恭喜入门，低画质
高通骁龙680,,恭喜入门，低画质
联发科1300T,,中高画质，中高帧率，注意散热
联发科1300T,,中高画质，中高帧率，注意散热
联发科MT8786,,恭喜入门，低画质
高通骁龙680,,恭喜入门，低画质
8Gen2,,高画质超高帧率
8+Gen1,,高画质高帧率
,GTX960,低画质入门
,1050TI,低画质入门
,GTX680,低画质入门
,GTX770,低画质入门
,GTX590,低画质入门
,GTX1650,低画质入门
,GTX780,中低画质，中高帧率
,GTXTITAN,中低画质，中高帧率
,GTX780TI,中低画质，中高帧率
,GTX970,中低画质，中高帧率
,GTXTITANBLACK,中低画质，中高帧率
,GTX1060,中低画质，中高帧率
,GTX980,中低画质，中高帧率
,GTX1650,中低画质，中高帧率
,GTX690,中低画质，中高帧率
,GTX1660,中高画质，高帧率
,GTX980TI,中高画质，高帧率
,GTXTITANZ,中高画质，高帧率
,GTXTITANX,中高画质，高帧率
,GTX1660TI,中高画质，高帧率
,RTX3050,中高画质，高帧率
,GTX1070,中高画质，高帧率
,GTX1070TI,中高画质，高帧率
,RTX2060,中高画质，高帧率
,RTX3060,中高画质，高帧率
,GTX1080,中高画质，高帧率
,RTX2060(12G),中高画质，高帧率
,RTX2060SUPER,中高画质，高帧率
,RTX2070,中高画质，高帧率
,TITANXP,高画质，高帧率
,RTX2070SUPER,高画质，高帧率
,GTX1080TI,高画质，高帧率
,RTX4060,高画质，高帧率
,RTX2080,高画质，高帧率
,RTX2080SUPER,高画质，高帧率
,TITANV,高画质，高帧率
,RTX2080TI,高画质，高帧率
,RTX4060TI,高画质，高帧率
,RTX3060TI,高画质，高帧率
,RTX3070,高画质，超高帧率
,TITANRTX,高画质，超高帧率
,RTX3070TI,高画质，超高帧率
,RTX3080,高画质，超高帧率
,RTX4070,高画质，超高帧率
,RTX3080(12G),高画质，超高帧率
,RTX3080TI,高画质，超高帧率
,RTX4070SUPER,高画质，超高帧率
,RTX3090,高画质，超高帧率
,RTX4070TI,极致画质，极致帧率
,RTX3090TI,极致画质，极致帧率
,RTX4070TISUPER,极致画质，极致帧率
,RTX4080,极致画质，极致帧率
,RTX4080SUPER,极致画质，极致帧率
,RTX4090D,神机，拉满！！！
,RTX4090,神机，拉满！！！
,R9-285,低画质入门
,R9-380,低画质入门
,HD7970,低画质入门
,HD6990,低画质入门
,R9-280X,低画质入门
,HD7970GHZ,低画质入门
,R9-290,中低画质，中高帧率
,RX470,中低画质，中高帧率
,R9-290X,中低画质，中高帧率
,RX570,中低画质，中高帧率
,RX580,中低画质，中高帧率
,R9-390,中低画质，中高帧率
,R9-390X,中低画质，中高帧率
,RX580,中低画质，中高帧率
,R9NANO,中低画质，中高帧率
,R9FURY,中低画质，中高帧率
,HD7990,中高画质，高帧率
,HD7970X2,中高画质，高帧率
,RX590,中高画质，高帧率
,R9FURYX,中高画质，高帧率
,R9-295X2,中高画质，高帧率
,RXVEGA56,中高画质，高帧率
,RX5600XT,中高画质，高帧率
,RXVEGA64,中高画质，高帧率
,RX5700,中高画质，高帧率
,RX6600,中高画质，高帧率
,RXVEGA64L,中高画质，高帧率
